datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,market_cap,pe_ratio,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2025-04-29 00:00:00-04:00,2025-04-29,00:00:00,1745899200,547.2920086038646,553.8127702769649,546.9330843434874,552.6860961914062,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,17.041057146957506,545.5772889429454,540.0313961681821,68.31537766984607,-3.0961601313118763,-7.840188099866375,4.744027968554499,570.4036432279205,532.59150390625,494.77936458457947,98.18909428686905,97.80128609734179,-1.810905713130951,93.24253359278302,34.895967787017554,28.489659286463787,13.360916585142757,2034094608.0,565.747494747627,523.0636721696472,480.37984959166755,571.5480137441524,531.8852573592129,492.2225009742734,0.006299366429427744,0.4490463831445534
2025-04-30 00:00:00-04:00,2025-04-30,00:00:00,1745985600,545.9560300157574,554.8796618213433,539.9238747243568,552.9054565429688,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,14.151740945463255,548.0200114762865,542.3721344181433,52.79296743006101,-1.7735288812457384,-6.626856256142248,4.85332737489651,569.2281914795865,532.2709533691407,495.31371525869486,95.88006878336654,96.62531534726247,-4.119931216633452,88.69572574851861,32.4885109387849,22.40955146816012,19.626555285834346,2051782387.2,565.747494747627,523.0636721696472,480.37984959166755,571.7047185478276,531.4696549685334,491.2345913892392,0.00039689862486880223,0.4479370896054434
2025-05-01 00:00:00-04:00,2025-05-01,00:00:00,1746072000,558.7182765361568,562.4073827721945,556.2156651498251,556.8238525390625,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,12.03157808750158,550.9546251638785,544.9997195310377,69.73331612899547,-0.40448957302976396,-5.382382919519752,4.977893346489988,567.9614564852369,531.9693420410156,495.9772275967943,89.92980978553136,94.66632428525566,-10.07019021446864,136.45901843038305,30.71957123018741,30.827510717812288,23.085078618694848,2069470166.4,562.4073827721945,521.3936161819311,480.37984959166755,571.2921069497391,531.3641324500211,491.436157950303,0.007086918658016916,0.4472752612849567
2025-05-02 00:00:00-04:00,2025-05-02,00:00:00,1746158400,563.0653709624233,566.7046364907385,560.7223222120272,565.0894165039062,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,11.57222248961624,555.6662222772211,548.6523917079229,69.35141792057566,1.3320903673323983,-4.039488262149321,5.37157862948172,572.3886515282733,533.4679107666016,494.54717000492985,97.29640333858889,94.36876063582895,-2.703596661411115,144.88411863924253,28.50702980046983,32.9004587828526,24.001433286144067,2096001835.2,566.7046364907385,523.542243041203,480.37984959166755,570.7718067993378,532.6295576153897,494.48730843144153,0.014844126966101712,0.4492408551755878
2025-05-05 00:00:00-04:00,2025-05-05,00:00:00,1746417600,560.9117673476358,564.9797581165675,560.0443366413908,561.8489990234375,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,11.190490351224772,557.7271478592933,551.0517748561982,64.7158243089515,2.4189833379225547,-2.747793942134946,5.1667772800575005,574.6265385827469,536.3708282470703,498.1151179113938,91.87250940884925,93.03290751098984,-8.127490591150742,123.33506525233562,26.157423996410646,29.026873321601748,25.25293094971347,2122533504.0,566.7046364907385,523.542243041203,480.37984959166755,570.7081601269398,535.2160774896709,499.7239948524019,-0.005734344664454216,0.4496108966849111
2025-05-06 00:00:00-04:00,2025-05-06,00:00:00,1746504000,556.2854623092777,561.6894695117311,555.3183506499339,557.1528930664062,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,11.199746705796205,557.5357295949976,552.161069076236,62.30976362966514,2.8683527589018922,-1.6245646019275783,4.492917360829471,574.9653872688584,539.0838073730469,503.2022274772353,84.0120467532561,91.06031983356475,-15.987953246743905,96.93401738645855,23.61055491928627,29.00288322266266,28.24614977812975,2149065172.8,566.7046364907385,527.2114034803088,487.71817046987917,570.0574136939373,538.0370716438757,506.0167295938141,-0.008358306173355534,0.4471367539867895
2025-05-07 00:00:00-04:00,2025-05-07,00:00:00,1746590400,558.4989192920236,562.1580845152806,554.4009877287364,559.4959716796875,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,10.500385144261799,558.1891436232277,553.4946877314089,73.20521841735972,3.3746472913964,-0.6247222232627827,3.9993695146591826,572.6823681017333,542.3077758789062,511.93318365607905,87.93395186087838,87.93950267432793,-12.066048139121625,91.36838947866723,22.15385103825792,30.934574434073685,19.546896941095678,2184440731.2,566.7046364907385,529.1506761301662,491.5967157695939,570.0931456545304,540.8685334187447,511.64392118295905,0.004205449962551011,0.44726969646648895
2025-05-08 00:00:00-04:00,2025-05-08,00:00:00,1746676800,563.5739323580718,568.6289957190513,560.0443884974118,563.3944702148438,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,10.63570041115785,559.9242524870997,555.2946481829425,74.2685338081137,4.043850614059579,0.30899234420168964,3.7348582698578894,574.8882868005558,543.1273529052735,511.3664190099912,91.5117276940623,87.81924210273228,-8.48827230593771,105.82402824017694,21.426704245018577,34.88681758607962,19.298206824382806,2219816289.6,568.6289957190513,537.795126849494,506.96125797993665,567.2402479881214,542.6429547401899,518.0456614922584,0.006967875967815118,0.446410304614166
2025-05-09 00:00:00-04:00,2025-05-09,00:00:00,1746763200,564.8102205798259,565.8272334952061,561.1012148853195,562.6765747070312,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.694910353120674,560.8416932270769,556.6368166418678,87.20141386132894,4.464803426188837,1.140154560599119,3.324648865589718,576.5367266097526,545.1094940185546,513.6822614273567,88.3215593708711,89.25574630860393,-11.678440629128906,93.16039982219745,22.65637855719592,38.2722198173623,9.82145978580435,2255191848.0,568.6289957190513,537.795126849494,506.96125797993665,565.9081809684326,544.7567064835814,523.6052319987302,-0.0012742324352930101,0.4463523413325185
2025-05-12 00:00:00-04:00,2025-05-12,00:00:00,1747022400,579.7560672258437,581.2815867067962,575.3391321114739,581.2716064453125,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.925656005594492,567.6516642998222,561.1158693334031,88.1258478905321,6.227093164942858,2.157542281467867,4.0695508834749905,582.2478736281552,547.5547668457032,512.8616600632512,99.97962181748919,93.2709696274742,-0.02037818251081179,156.24877767083728,24.555351628317347,43.05087244374897,9.5931364240796,2290567406.4,581.2815867067962,544.1214223433665,506.96125797993665,568.6731782112483,547.2923787586277,525.9115793060071,0.033047460253633476,0.45186280225600267
2025-05-13 00:00:00-04:00,2025-05-13,00:00:00,1747108800,581.6903470478828,587.343678293745,581.1220807001266,585.1102905273438,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,9.07531450377795,573.4712063756627,565.478491368665,87.38005875908154,7.8430602868645565,3.294645882547205,4.548414404317351,588.0855240807682,549.9337371826172,511.7819502844662,95.82325160687488,94.70814426507839,-4.176748393125129,157.72374578508555,26.73217023909052,39.19801146704443,10.49199695729715,2325942964.8,587.343678293745,547.1524681368409,506.96125797993665,570.6077896414722,549.6437634094893,528.6797371775065,0.006603942183768696,0.45185302518443127
2025-05-14 00:00:00-04:00,2025-05-14,00:00:00,1747195200,586.0774155967079,587.2439499583633,583.8140869943453,585.8580932617188,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,8.464974323220238,577.6001686710148,569.1838735310384,85.10127464093918,9.07940556875485,4.451597819788734,4.6278077489661165,593.1732648121084,552.4253753662109,511.67748592031336,96.86716325205258,97.55667889213889,-3.1328367479474233,141.81440453439436,29.564717723984426,40.34159446439697,11.24848918902924,2370162412.8,587.343678293745,547.1524681368409,506.96125797993665,572.7112423559821,552.0443357685479,531.3774291811136,0.0012780543198120942,0.4518502177322488
2025-05-15 00:00:00-04:00,2025-05-15,00:00:00,1747281600,583.8340232035316,589.2280501171933,583.3753571741278,588.7196044921875,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,8.358860153357162,581.3066472780724,572.7358246148837,84.81986476475147,10.17285184994546,5.5958486258200795,4.57700322412538,597.188768522492,555.6558288574219,514.1228891923517,98.96875747144185,97.2197241101231,-1.031242528558152,133.7861608991146,32.895774214968,39.464940506619385,11.391286660288312,2423225750.4,589.2280501171933,548.094654048565,506.96125797993665,574.5775554872627,555.0801954703244,535.5828354533861,0.004884307758791007,0.4517474638266627
2025-05-16 00:00:00-04:00,2025-05-16,00:00:00,1747368000,589.5072306166389,592.7476509117832,587.5430666021017,592.4485473632812,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,8.123128620952002,585.0206139731421,576.3199560236832,85.70251708863503,11.211076124356396,6.718894125527344,4.492181998829052,601.0139703800214,559.0353393554688,517.0567083309161,99.43377098327706,98.42323056892384,-0.566229016722936,138.70002647578838,34.315054437069186,41.5132359856138,11.721859471061006,2476289088.0,592.7476509117832,549.8544544458599,506.96125797993665,577.6393346290337,558.3453772114092,539.0514197937847,0.006333987933543117,0.42497623578315136
2025-05-19 00:00:00-04:00,2025-05-19,00:00:00,1747627200,586.3665146930052,593.784587269064,586.3665146930052,593.0966186523438,88438896,0.0,0.0,0.0,69517683,429.22,624.73,618.07,32.75,1.21,598.551,627.86,481.8,1.761,572897886208,26.98331,1.4543124,917782016,584.9057,8.161584809707806,587.712615532876,579.3702583198033,85.00603802155922,11.948436144468587,7.764802529315593,4.183633615152995,601.53357848572,563.0719055175781,524.6102325494362,98.72268935144668,99.04173926872187,-1.277310648553323,128.32117031306217,35.411527022592075,39.65969204834507,12.69632268536026,2538196315.2,593.784587269064,555.722134761834,517.6596822546041,580.487415855972,562.2413591229823,543.9953023899926,0.0010938861981293346,0.38200810989209527
