datetime,date,time,timestamp,open,high,low,close,volume,Dividends,Stock Splits,beta,book_value,book_value_ttm,cash_per_share,cash_per_share_ttm,current_ratio,current_ratio_ttm,debt_to_equity,debt_to_equity_ttm,earnings_forward,earnings_growth,earnings_quarterly_growth,earnings_ttm,ebitda,ebitda_margin,ebitda_margins,enterprise_value,ev_to_ebitda,float_shares,forward_pe,free_cashflow,free_cashflow_ttm,gross_margins,gross_profits,held_percent_insiders,held_percent_institutions,market_cap,net_income,operating_cashflow,operating_cashflow_ttm,operating_margin,operating_margins,payout_ratio,pe_ratio,price_to_book,price_to_sales,profit_margin,profit_margins,quarterly_debt,quarterly_ebitda,quarterly_eps,quarterly_net_income,quarterly_operating_income,quarterly_revenue,quarterly_total_assets,quarterly_total_equity,quarterly_total_liabilities,quick_ratio,return_on_assets,return_on_equity,revenue_growth,revenue_per_share,revenue_per_share_ttm,shares_outstanding,shares_percent_shares_out,shares_short,shares_short_prior_month,short_percent_of_float,short_ratio,total_cash,total_cash_ttm,total_debt,total_debt_ttm,total_revenue,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2025-07-03 12:45:00-04:00,2025-07-03,12:45:00,1751561100,134.10499572753906,134.39999389648438,133.52999877929688,134.3699951171875,2878638,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,1.0224718366350447,134.3278046865434,134.02108344006058,49.9297565510844,0.30672124648282306,0.3841771957488987,-0.07745594926607563,135.43746727878326,134.26423016113282,133.09099304348237,59.807081843025856,54.1266593725417,-40.19291815697415,-9.66607133639749,42.31756512219174,7.755068104148501,27.0018398459901,-84982828.7,135.6199951171875,133.42999755859375,131.24,136.2817884090169,134.16789783772785,132.0540072664388,0.0020133408007712017,0.06046880299331367
2025-07-03 13:00:00-04:00,2025-07-03,13:00:00,1751562000,134.36000061035156,134.36000061035156,134.08999633789062,134.1999969482422,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,0.8596136910574776,134.30814195757398,134.03433629251847,55.98272221247931,0.2738056650555052,0.36210288961022,-0.08829722455471484,135.3764863669933,134.31423000854494,133.25197365009657,40.084342003605464,50.33906287527349,-59.91565799639454,-2.568725489772965,41.03721012785923,9.22430483619226,18.07457597892225,-85365440.55,135.6199951171875,133.42999755859375,131.24,136.23745318522137,134.2319927360026,132.22653228678385,-0.0012651497739286643,0.06060417910918357
2025-07-03 13:15:00-04:00,2025-07-03,13:15:00,1751562900,134.15,134.36,134.04,134.05,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,0.7181849016462069,134.2684278102549,134.03549656714674,34.550725974101795,0.23293124310816893,0.33626856030980984,-0.10333731720164091,135.31989702832166,134.3492300085449,133.37856298876815,25.592669998047995,41.82803128155976,-74.407330001952,-23.539488631519568,42.25222501379311,6.266906762267828,22.13116654823362,-85748052.4,135.6199951171875,133.42999755859375,131.24,136.28861985188806,134.2761594026693,132.26369895345053,-0.0011177120093379678,0.060697298689057606
2025-07-03 13:30:00-04:00,2025-07-03,13:30:00,1751563800,134.02,134.36,133.95,133.985,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,0.6417566353934185,134.22482353175414,134.03175608069142,38.586096738071426,0.19306745106271705,0.3076283384603913,-0.11456088739767423,135.30028314610615,134.36425500854492,133.42822687098368,28.443473890996295,31.37349529754991,-71.5565261090037,-41.38324164280393,43.94624675738301,6.234223803131916,25.76853265175565,-86130664.25,135.6199951171875,133.42999755859375,131.24,136.249294851888,134.30483440266926,132.3603739534505,-0.00048489369638193835,0.06067394269124194
2025-07-03 13:45:00-04:00,2025-07-03,13:45:00,1751564700,133.98,138.4468,133.96,134.09,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,0.9143853376116097,134.20408144994582,134.03607044508465,41.7088936420007,0.16801100486117093,0.27970487174054726,-0.11169386687937632,135.30055880893087,134.36225500854493,133.423951208159,11.748599250409871,21.92824771315138,-88.25140074959012,206.2512900541215,43.67256171223335,36.30010423211156,18.085511800540694,-86513276.1,138.4468,135.47839725341797,132.50999450683594,136.51158818522137,134.4194477360026,132.32730728678385,0.0007836698137850817,0.0606513800801509
2025-07-03 14:00:00-04:00,2025-07-03,14:00:00,1751565600,134.06,138.4468,134.0315,134.2099,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,1.1476214878627258,134.2049766114926,134.0489467084117,56.3274380887762,0.15602990308090625,0.2549698780086191,-0.09893997492771284,135.29889209100384,134.3587850085449,133.418677926086,14.177295300234508,18.123122813880215,-85.8227046997655,180.07115614304715,44.27199787332461,28.922674779671155,8.932811689603373,-86895887.95,138.4468,135.47839725341797,132.50999450683594,136.97259985188802,134.48292940266927,131.99325895345052,0.0008941755537326124,0.060643849513165045
2025-07-03 14:15:00-04:00,2025-07-03,14:15:00,1751566500,134.205,134.3,134.13,134.21,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,1.1136937011718788,134.20574944049375,134.0608765818627,54.67950615640908,0.1448728586310608,0.23295047413310743,-0.08807761550204662,135.29265583774787,134.35028500854492,133.40791417934196,14.179320901610575,13.368405150751641,-85.82067909838942,-41.45167185301847,44.75487716216998,29.803780903752553,9.20494264377458,-87278499.8,138.4468,135.47839725341797,132.50999450683594,136.90909985188804,134.46942940266928,132.0297589534505,7.451015164861019e-07,0.06062369196852071
2025-07-03 14:30:00-04:00,2025-07-03,14:30:00,1751567400,134.2,134.3,134.13,134.23,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,1.0451295532226612,134.2094802958024,134.07340424246544,43.09319210023465,0.13607605333695005,0.213575589973876,-0.07749953663692594,135.23245576907848,134.38978488647462,133.54711400387075,14.236923342673022,14.19784651483936,-85.76307665732698,-47.49793281714567,45.45037587691686,31.759012996300225,8.134314546639434,-87298170.95,138.4468,135.8484,133.25,136.6974318322754,134.49676266479494,132.29609349731447,0.00014902019223583807,0.06062515147420883
2025-07-03 14:45:00-04:00,2025-07-03,14:45:00,1751568300,134.2,134.23,134.13,134.13,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,1.0172720179966563,134.19725255798664,134.07759652080134,34.51434210025266,0.11965603718530815,0.19479167941616243,-0.07513564223085428,135.01251319142776,134.32424966918944,133.63598614695113,12.20308069760278,13.539774980628783,-87.79691930239723,-52.601092162485344,46.40953135583344,30.310834902134566,8.357069080346816,-87561787.1,138.4468,135.97839725341797,133.50999450683594,136.4482530704753,134.4675842081706,132.4869153458659,-0.0007449899426357209,0.06069928318459863
2025-07-03 15:00:00-04:00,2025-07-03,15:00:00,1751569200,134.23,134.25,134.13,134.25,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,0.9958435773577057,134.2053675490656,134.09036714889012,39.91199118125529,0.1150004001754894,0.17883342356802784,-0.06383302339253843,134.92343893876804,134.29149973022461,133.6595605216812,14.643691871687302,13.694565303987693,-85.35630812831269,-40.5995205547209,47.95488362143783,31.106513146479987,8.536895473543,-87616907.55,138.4468,135.97839725341797,133.50999450683594,136.27833694295245,134.43366765340167,132.5889983638509,0.0008946544397225864,0.0607252768000664
2025-07-03 15:15:00-04:00,2025-07-03,15:15:00,1751570100,134.24,134.48,134.12,134.385,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,0.9822860996791333,134.23300331074782,134.1121918045279,36.23356988335585,0.12081150621992265,0.1672290400984068,-0.04641753387848416,134.86951134336766,134.2732497302246,133.67698811708152,17.3893794425321,14.74538400394072,-82.6106205574679,-15.720526322131345,49.82496316942471,31.535764241458274,8.654721400087896,-87527328.35,138.4468,135.97839725341797,133.50999450683594,136.22308733968097,134.40941786702473,132.59574839436848,0.0010055865921787532,0.060760085776258514
2025-07-03 15:30:00-04:00,2025-07-03,15:30:00,1751571000,134.42,134.42,134.2,134.26,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,0.9262143223353831,134.23715664755585,134.12314055974807,47.53093815533733,0.1140160878077836,0.15658644964028218,-0.04257036183249857,134.85095592113774,134.29574985229493,133.74054378345213,14.847076136194154,15.626715816804511,-85.15292386380585,-25.121093210411022,51.59798070227402,33.44489726636496,5.128327354687396,-87304726.1,138.4468,135.97839725341797,133.50999450683594,136.1410879296875,134.4204178466797,132.6997477636719,-0.000930163336681944,0.060866507448350066
2025-07-03 15:45:00-04:00,2025-07-03,15:45:00,1751571900,134.22,134.69,134.22,134.33,0,0.0,0.0,2.638,2.299,2.299,2.301,2.301,6.494,6.494,4.432,4.432,0.47,1.0,1.028,0.22,435340992,0.13976,0.13976,316611985408,727.274,2178482332,316.12766,931205248,931205248,0.8001,2492320000,0.03642,0.55859,350635425792,570691008,1334548992,1334548992,0.19917999,0.19917999,0.0,675.36365,64.6281,112.562675,0.18320999,0.18320999,239219000.0,341990000.0,0.21,462190000.0,310403000.0,2865507000.0,6340884000.0,5094407000.0,1246477000.0,6.363,0.043920003,0.12357,0.393,1.364,1.364,2262909952,0.0225,53178660,55835273,0.024600001,0.61,5430688768,5430688768,244596000,244596000,3115023872,0.9119287388392893,134.25144024023956,134.1384634812482,57.53433591315212,0.11297675899135129,0.147864511510496,-0.03488775251914472,134.8431018481583,134.31599969970702,133.78889755125573,16.270765987743843,16.169073855490023,-83.72923401225616,-5.408082179053956,54.809985293466355,36.08364654413338,4.464668033369544,-87174006.8,138.4468,135.97839725341797,133.50999450683594,136.14292233113608,134.43975114949544,132.7365799678548,0.0005213764337852478,0.060817922982142544
