datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,day_high,day_low,dividend_frequency,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,latest_split_ratio,split_frequency,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2024-10-24 00:00:00-04:00,2024-10-24,00:00:00,1729742400,104.7876382909154,105.97841146748561,102.40609950847805,105.18456268310547,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,7.832137185441015,108.70036340300351,107.94530407392779,55.50000006407127,-0.25082173380403106,-1.2026885953493027,0.9518668615452717,124.47424297177443,106.02306442260742,87.57188587344041,51.33330272642429,59.14529060776167,-48.666697273575714,-14.024285490224065,14.593257210007524,32.036192155631774,24.615376544435588,-76018300.0,126.32069796938615,107.51647752378511,88.71225707818408,122.88633278504783,106.16000345310763,89.43367412116744,0.01727442415819147,1.3825556544491746
2024-10-25 00:00:00-04:00,2024-10-25,00:00:00,1729828800,105.48226417942078,107.96303231561879,98.03995977082674,100.02457427978516,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,7.931368018493608,107.12294719878199,107.19094885543802,50.46584390399863,-0.9033983689736402,-1.1428305500741702,0.23943218110053,121.47955555011495,104.84221992492675,88.20488429973855,33.99999548176601,43.555538626524516,-66.000004518234,-29.51267265699282,13.892949982242138,25.915988648930238,28.23948124167882,-77538666.0,119.67225334796345,104.19225521307376,88.71225707818408,122.03791067298963,105.1230434502963,88.20817622760296,-0.04905651810205325,1.3756210617713462
2024-10-28 00:00:00-04:00,2024-10-28,00:00:00,1730088000,104.390709180115,105.0853287277256,101.01687092575945,102.60456085205078,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,7.966806807770317,106.30142240846722,106.75414999797258,52.70270566679907,-1.1985703267295094,-1.153978505405238,-0.04459182132427131,120.47763442226265,104.3063735961914,88.13511277012016,42.66662347561904,42.66664056126979,-57.33337652438097,-16.893347261699642,13.00735298445772,25.800706418196185,26.690368016471826,-78298849.0,119.67225334796345,104.19225521307376,88.71225707818408,120.77437339027225,104.5739661794604,88.37355896864855,0.02579352714912808,1.3679387112351746
2024-10-29 00:00:00-04:00,2024-10-29,00:00:00,1730174400,112.08401163990223,117.64846445174142,111.09035908132496,112.8789291381836,7601830,0.0,0.14,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,8.644448585381713,107.49733272296109,107.3374622970403,60.64255001291443,-0.5965637599609153,-1.0424955563163736,0.4459317963554583,121.38276317410723,104.77047538757324,88.15818760103926,77.18003093477493,51.28221663072001,-22.81996906522507,83.90339533421749,13.744365115638859,33.01110778434433,24.598099406259983,-78298849.0,119.67225334796345,104.19225521307376,88.71225707818408,121.1790562634145,104.9706584225008,88.76226058158711,0.1001355904729011,1.1102879078264838
2024-10-30 00:00:00-04:00,2024-10-30,00:00:00,1730260800,118.04593749417694,121.22562293214095,114.66751697823513,115.06497955322266,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,8.716135575873905,108.87326851028138,108.07341632143863,65.32205661138116,0.056278042096920444,-0.8227408366337148,0.8790188787306352,122.23778198182751,105.82018852233887,89.40259506285022,74.30872621192944,64.71846020744114,-25.69127378807056,99.57995146270737,15.006004616211895,35.67107845955452,19.353995711031455,-77538666.0,121.22562293214095,104.96894000516252,88.71225707818408,122.04182008888719,105.97121711024172,89.90061413159626,0.019366328434627045,1.1012711334646637
2024-10-31 00:00:00-04:00,2024-10-31,00:00:00,1730347200,112.08401423793029,112.24299470888465,101.55129080809631,101.9487533569336,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,9.064751690186885,107.61426575512722,107.49011508672388,50.979389483131364,-0.47918620319816796,-0.7540299099466055,0.2748437067484375,121.57226913311379,106.30339813232422,91.03452713153465,16.858666318541022,56.11580782174847,-83.14133368145897,-13.96783100123658,13.588972992839874,30.93697898948036,28.94501573859754,-76778483.0,121.22562293214095,105.56433380434328,89.90304467654559,123.54849885829489,106.66237298310939,89.7762471079239,-0.1139897321254224,1.0997337393833917
2024-11-01 00:00:00-04:00,2024-11-01,00:00:00,1730433600,103.7373294029786,108.10940220941974,99.76271913911711,102.3462142944336,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,8.583581081225038,106.65643821681928,107.00021977317242,40.90120374648857,-0.8615423752590203,-0.7755324030090884,-0.0860099722499319,121.45261159630384,106.48894157409669,91.52527155188953,18.57291936679186,36.58010396575412,-81.42708063320813,-37.10175322867952,14.951542863324821,21.02811727462938,32.055955393963416,-76018300.0,121.22562293214095,105.56433380434328,89.90304467654559,123.98497535827441,106.99650367847605,90.00803199867768,0.003898634602312878,1.0213090089090806
2024-11-04 00:00:00-05:00,2024-11-04,00:00:00,1730696400,97.57668232375603,97.77541739241026,92.96613486452566,94.4963607788086,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,8.275455642920114,104.44551504627188,105.80937605942349,38.03538241950086,-1.7774901708521753,-0.9759239565777058,-0.8015662142744695,121.84489417288296,106.24230041503907,90.63970665719518,5.414910244027173,13.615498643120034,-94.58508975597283,-115.55665096974474,16.86248909999105,18.21377577685558,39.11590331221825,-76018300.0,121.22562293214095,105.56433380434328,89.90304467654559,123.78264364874094,106.70954811415736,89.63645257957377,-0.07669901197363527,1.0328686939186007
2024-11-05 00:00:00-05:00,2024-11-05,00:00:00,1730782800,97.17922887962261,99.16653411167242,92.60842078113379,94.5957260131836,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,8.403672498910332,102.6546443129831,104.74140938835302,36.21533797622259,-2.466930217980959,-1.2741252088583566,-1.1928050091226026,122.17119981493367,106.02047386169434,89.86974790845501,6.9444427920074085,10.310757467608829,-93.05555720799259,-108.32148682480006,18.8298285835238,19.118289241640902,38.519102551293756,-75258117.0,121.22562293214095,105.56433380434328,89.90304467654559,123.8396103411348,106.567164613304,89.2947188854732,0.0010515244561384307,1.026642144903671
2024-11-06 00:00:00-05:00,2024-11-06,00:00:00,1730869200,110.89163057550303,117.35037258801223,109.5005153950767,116.35671997070312,7601830,0.0,0.0,0.0,3502104,127.6644,119.075,3.25,63.4943,251.0,5.68,0.029,0.05,1,95.7046,9.660432806790741,105.14593079620491,105.84762944381494,52.990789243313806,-1.2430568882884927,-1.2679115447443838,0.024854656455891133,123.18665904817989,106.98592758178711,90.78519611539433,82.9860971881681,31.781816741400906,-17.013902811831898,68.76061815611541,18.80887251675323,30.07612680326663,32.1873517387812,-73737751.0,121.22562293214095,105.56433380434328,89.90304467654559,126.36758924232123,107.37537072832068,88.38315221432012,0.2300420417988731,1.1300823746882591
