,datetime,date,time,timestamp,open,high,low,close,volume,Dividends,Stock Splits,average_volume,day_high,day_low,fifty_day_average,fifty_two_week_high,fifty_two_week_low,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
186,2025-04-17 00:00:00-05:00,2025-04-17,00:00:00,1744866000,30.790000915527344,32.54999923706055,29.56999969482422,29.649999618530273,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,10.777857235499791,33.01775869090624,30.82384190432551,55.39519776275796,3.2356308404345775,3.899804470828229,-0.6641736303936514,50.808428145046136,29.399000263214113,7.989572381382093,22.737640405272654,28.294354910803378,-77.26235959472734,6.069867129330548,48.01476424298824,28.232485988433016,10.756179602842463,0.0,60.130001068115234,38.55000019073486,16.969999313354492,46.01300026575724,29.77599999109904,13.538999716440838,-0.09160538685752617,2.010248635272004
187,2025-04-21 00:00:00-05:00,2025-04-21,00:00:00,1745211600,32.75,35.75,31.790000915527344,33.81999969482422,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,10.988571575709752,33.1636206916186,31.109190265325385,57.427908157045394,3.0848963163914505,3.7368228399408734,-0.6519265235494229,51.07107935214901,30.126000213623048,9.180921075097082,33.30798259956577,29.779503537525244,-66.69201740043422,25.610315615249625,50.28093301371855,28.068122547445572,10.54992155805684,0.0,60.130001068115234,38.55000019073486,16.969999313354492,47.12050034205119,30.47250000635783,13.82449967066447,0.14064081382610993,2.024999143672345
188,2025-04-22 00:00:00-05:00,2025-04-22,00:00:00,1745298000,32.61000061035156,32.68000030517578,30.079999923706055,30.56999969482422,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,11.117142949785505,32.69205323765598,31.05783878242051,55.4712749332096,2.6723846942335463,3.5239352107994084,-0.8515505165658621,50.861997402408264,30.780500221252442,10.699003040096617,25.069706459776313,27.038443154871576,-74.93029354022369,-0.13842799415101464,53.23537079623914,27.743510630521246,11.468774243587806,0.0,60.130001068115234,38.55000019073486,16.969999313354492,47.96666685740153,31.126666704813637,14.286666552225746,-0.09609698490025054,2.0382142315726433
189,2025-04-23 00:00:00-05:00,2025-04-23,00:00:00,1745384400,28.75,30.290000915527344,27.110000610351562,28.450000762939453,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,11.151428631373815,31.920770969525705,30.80947325675565,54.21730685123161,2.1496205775294683,3.249072284145421,-1.0994517066159526,50.4230273866528,31.3455002784729,12.267973170293004,10.00000108372079,22.792563381020955,-89.99999891627921,-27.26930224326148,55.62782987578948,27.658211678874473,12.759415814253563,0.0,60.130001068115234,38.55000019073486,16.969999313354492,48.80283346176147,31.691833400726317,14.58083333969116,-0.06934900075395489,2.0088836638969014
190,2025-04-24 00:00:00-05:00,2025-04-24,00:00:00,1745470800,28.690000534057617,29.65999984741211,26.360000610351562,26.469999313354492,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,10.779285703386579,30.929721577494576,30.396190024050775,47.656765098186646,1.5576016174379639,2.91077815080393,-1.353176533365966,49.989688820231535,31.75250024795532,13.515311675679108,0.3257290539291099,11.798478865808738,-99.67427094607089,-43.67744160362581,54.67234898814188,24.398648023360682,13.696905504733792,0.0,60.130001068115234,39.040000915527344,17.950000762939453,49.391500027974445,32.160500081380206,14.929500134785968,-0.0695958311594923,2.0062221959800386
191,2025-04-25 00:00:00-05:00,2025-04-25,00:00:00,1745557200,26.219999313354492,27.200000762939453,24.84000015258789,24.84000015258789,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,9.83214282989502,29.822499500238813,29.867029083911454,33.515864138542625,0.9459902299838916,2.517820566639922,-1.5718303366560304,49.56241574564078,32.06000022888183,14.557584712122885,0.0,3.4419100458832994,-100.0,-66.94921895539177,49.56305997140387,15.42317442867495,16.120596146424127,0.0,60.130001068115234,39.52500057220459,18.920000076293945,49.843833414713544,32.509833399454756,15.175833384195968,-0.06157911609556577,2.012386894077484
192,2025-04-28 00:00:00-05:00,2025-04-28,00:00:00,1745816400,25.75,26.93000030517578,24.700000762939453,25.149999618530273,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,8.45214285169329,28.972954067200895,29.41778818244658,32.02700639600869,0.48075630570064476,2.1104077144520668,-1.629651408751422,49.365192737731235,32.23500022888184,15.104807720032444,1.352973175887029,0.559567409938713,-98.64702682411297,-71.24932789420173,47.569032805570885,5.670581499872362,18.870954059075,0.0,60.130001068115234,40.40500068664551,20.68000030517578,49.95166673660279,32.74366674423218,15.535666751861573,0.01247984959895776,2.0088010721180574
193,2025-04-29 00:00:00-05:00,2025-04-29,00:00:00,1745902800,24.760000228881836,25.989999771118164,23.760000228881836,24.170000076293945,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,7.108571325029645,28.099689705217813,28.917998839003474,25.017742639457012,0.0326014863749684,1.6948464688366471,-1.6622449824616787,49.24800585462445,32.32950019836426,15.410994542104067,1.1988300033088597,0.850601059731963,-98.80116999669114,-82.34981666500474,45.73173862712717,6.742362522316046,21.2721045792831,0.0,60.130001068115234,40.40500068664551,20.68000030517578,49.945833396911624,32.82983341217041,15.713833427429197,-0.038966185172991996,2.011287989269674
194,2025-04-30 00:00:00-05:00,2025-04-30,00:00:00,1745989200,24.350000381469727,28.170000076293945,24.229999542236328,24.700000762939453,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,5.5328570774623325,27.481564442985384,28.516284736521186,38.31849384802638,-0.2766092316705766,1.3005553287352023,-1.577164560405779,49.05688452480183,32.476000213623045,15.895115902444264,3.021538326090906,1.8577805017622648,-96.9784616739091,-74.75139399699647,43.406798478517835,11.4768906464272,21.417503797214515,0.0,60.130001068115234,40.40500068664551,20.68000030517578,50.322333335876465,33.00033340454102,15.67833347320557,0.021928038269446892,1.995933674846967
195,2025-05-01 00:00:00-05:00,2025-05-01,00:00:00,1746075600,23.940000534057617,25.18000030517578,23.299999237060547,24.600000381469727,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,4.149285725184849,26.957643704527992,28.143305274135333,24.150093541446807,-0.5236933377019,0.9357055954477819,-1.4593989331496817,48.83445038430567,32.63050022125244,16.426550058199215,5.6967623216227805,3.3057102170075154,-94.30323767837722,-90.88354992863185,41.2246557836509,15.303837779818618,30.16009382749938,0.0,60.130001068115234,41.71500015258789,23.299999237060547,50.332833480834964,33.12083339691162,15.908833312988282,-0.004048598315015806,1.9878662761501082
196,2025-05-02 00:00:00-05:00,2025-05-02,00:00:00,1746162000,23.6299991607666,24.31999969482422,22.34000015258789,22.68000030517578,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,3.648571423121861,26.179890359191226,27.622990515186803,25.150297677634114,-0.8644721352632629,0.575670049305573,-1.440142184568836,49.03880765399066,32.26350021362305,15.488192773255431,2.5354224940838055,3.7512410472658306,-97.4645775059162,-98.32394296621224,38.82939723999261,17.404070874954368,36.178538885062125,0.0,60.130001068115234,41.23500061035156,22.34000015258789,49.44733346303305,32.860333379109704,16.273333295186365,-0.07804878237889012,1.9867288801477285
197,2025-05-05 00:00:00-05:00,2025-05-05,00:00:00,1746421200,24.25,24.6299991607666,22.809999465942383,23.639999389648438,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,3.2299998147147044,25.718092001092536,27.24365802704029,35.03920495586411,-1.045031412821917,0.25152975688007506,-1.296561169701992,47.189050767236125,31.18000011444092,15.170949461645712,9.694252437381074,5.975479084362553,-90.30574756261892,-86.89580074863636,36.064243851299935,20.344978733609853,25.16585540373157,0.0,60.130001068115234,41.23500061035156,22.34000015258789,47.24983320236206,32.02983331680298,16.809833431243895,0.042328001391321646,1.9865772904891728
198,2025-05-06 00:00:00-05:00,2025-05-06,00:00:00,1746507600,23.969999313354492,25.110000610351562,23.899999618530273,24.760000228881836,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,3.109285627092634,25.543893497054228,27.007119189120438,39.096824566900686,-1.0852412480891722,-0.0158244441137744,-1.0694168039753977,44.4639267876301,30.069000148773192,15.674073509916285,18.04623492789198,10.091969953118953,-81.95376507210803,-74.29871876950858,32.97696818645576,22.237538655249505,22.7888820456663,0.0,57.959999084472656,40.14999961853027,22.34000015258789,44.04316670099894,30.831166617075603,17.619166533152264,0.04737736328892761,1.9847484227391423
199,2025-05-07 00:00:00-05:00,2025-05-07,00:00:00,1746594000,24.559999465942383,25.6200008392334,23.290000915527344,23.549999237060547,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.8842856543404713,25.181367267964465,26.677869669876635,30.468414323655168,-1.2009015542918355,-0.25283986614938664,-0.9480616881424488,38.78456172128086,28.630000019073485,18.47543831686611,9.02311035228061,12.254532572517888,-90.97688964771939,-75.62188817839794,31.454939429500364,15.279846735701227,26.077263492189157,0.0,57.959999084472656,40.14999961853027,22.34000015258789,40.94099992116293,29.599999936421717,18.258999951680508,-0.048869183385945925,1.9853638164743939
200,2025-05-08 00:00:00-05:00,2025-05-08,00:00:00,1746680400,22.84000015258789,23.610000610351562,21.8799991607666,22.479999542236328,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.7885714939662387,24.690209499650255,26.278072514863272,33.20843103469686,-1.3631892165244395,-0.4749097362243972,-0.8882794803000422,38.29695822195702,28.073000049591066,17.849041877225112,4.325885689729265,10.465076989967285,-95.67411431027072,-91.47957896921172,30.528994349289118,15.804307989113262,30.58401704419206,0.0,54.869998931884766,38.374999046325684,21.8799991607666,37.582833480834964,28.674833297729492,19.766833114624024,-0.04543523267467309,1.9890823212617834
201,2025-05-09 00:00:00-05:00,2025-05-09,00:00:00,1746766800,22.399999618530273,22.81999969482422,21.829999923706055,21.899999618530273,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.423571450369699,24.182898612173894,25.861113191402985,16.441441659135535,-1.5210705501758248,-0.6841418990146828,-0.836928651161142,35.80092749446131,27.131999969482422,18.46307244450353,0.6451584549597654,4.664718165656548,-99.35484154504024,-96.3506158305212,31.595520707338014,8.753319168847966,35.337458482984964,0.0,46.119998931884766,33.97499942779541,21.829999923706055,34.498833465576176,27.616833305358888,20.734833145141604,-0.025800708875297285,1.990210266048265
202,2025-05-12 00:00:00-05:00,2025-05-12,00:00:00,1747026000,19.84000015258789,20.440000534057617,18.139999389648438,18.389999389648438,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.4250000544956754,23.129644208078354,25.149578543616837,16.204217547818658,-1.9074326326889874,-0.9288000457495438,-0.9786325869394437,34.20329777187573,26.173499870300294,18.143701968724855,2.0576129103153797,2.34288568500147,-97.94238708968463,-151.0931463085422,33.269154560727266,8.748162456435765,41.14874521182468,0.0,35.75,26.94499969482422,18.139999389648438,32.888500118255614,26.557499980926515,20.226499843597413,-0.16027398584573105,2.0177041477592472
203,2025-05-13 00:00:00-05:00,2025-05-13,00:00:00,1747112400,18.690000534057617,18.850000381469727,17.649999618530273,18.219999313354492,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.2635716029575894,22.236981499946744,24.489618616925185,18.17050270797189,-2.201962103619458,-1.1834324573235266,-1.0185296462959312,33.99116255712485,25.539999866485594,17.088837175846333,4.746042331069026,2.4829378987813904,-95.25395766893098,-155.1134349200836,34.84479913260586,9.372044783507219,36.25749096221367,0.0,35.75,26.699999809265137,17.649999618530273,31.542666753133137,25.87266667683919,20.202666600545246,-0.009244158887228515,2.0169988904246465
204,2025-05-14 00:00:00-05:00,2025-05-14,00:00:00,1747198800,18.100000381469727,18.81999969482422,18.059999465942383,18.6200008392334,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.082143102373396,21.57934865254432,23.93060740000216,22.912361750148165,-2.375716272755618,-1.421889220409945,-0.9538270523456729,33.66530468920547,24.964999866485595,16.26469504376572,9.22054352181394,5.341399587732782,-90.77945647818606,-136.62848746178219,36.88637802058805,10.188682232941613,36.8439056815885,0.0,35.75,26.699999809265137,17.649999618530273,30.730000082651777,25.29999996821086,19.86999985376994,0.021953981391520827,2.0162733577771936
205,2025-05-15 00:00:00-05:00,2025-05-15,00:00:00,1747285200,19.190000534057617,19.3799991607666,17.770000457763672,17.829999923706055,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.028571537562779,20.897648883664633,23.349597164164432,24.32234994235337,-2.547794782887202,-1.6470703329053964,-0.9007244499818055,32.692252920601625,24.224499893188476,15.756746865775325,1.7110294424269017,5.22587176510329,-98.2889705575731,-131.58492694973555,39.916126251953244,12.42957921473655,32.46478457035631,0.0,35.75,26.699999809265137,17.649999618530273,29.64133335749308,24.598333326975503,19.555333296457924,-0.0424275445714678,2.018967163219144
206,2025-05-16 00:00:00-05:00,2025-05-16,00:00:00,1747371600,17.959999084472656,17.959999084472656,17.149999618530273,17.239999771118164,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,1.92714296068464,20.232621772292546,22.767730745779073,21.60804914577369,-2.7006449692891934,-1.857785260182156,-0.8428597091070373,32.21531786593778,23.603999900817872,14.992681935697965,0.8166982654205324,3.916090409887125,-99.18330173457946,-133.902665203338,39.40530798785885,13.083767594459527,35.95255834609553,0.0,35.75,26.449999809265137,17.149999618530273,28.758333333333333,23.94133332570394,19.124333318074548,-0.03309030595134499,2.020622233378894
207,2025-05-19 00:00:00-05:00,2025-05-19,00:00:00,1747630800,19.84000015258789,19.920000076293945,17.920000076293945,18.139999389648438,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,1.9592858723231725,19.852144975448162,22.326994426147582,28.231051047932823,-2.7178279666240677,-2.0297938014705386,-0.6880341651535291,30.295304005748747,22.81999988555908,15.344695765369414,8.983663611562756,3.837130439803397,-91.01633638843725,-98.76138830456911,37.33975206307125,20.014587078524137,31.93583493362629,0.0,32.68000030517578,24.914999961853027,17.149999618530273,27.659999974568684,23.184999974568687,18.70999997456869,0.05220415490016572,1.9972524914852603
208,2025-05-20 00:00:00-05:00,2025-05-20,00:00:00,1747717200,18.459999084472656,18.68000030517578,17.700000762939453,18.09000015258789,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,1.7435715539114816,19.531755007655384,21.923471161999043,25.280481479177794,-2.7043065735707614,-2.164696355890583,-0.5396102176801785,29.000854159191313,22.195999908447266,15.39114565770322,11.097997622007243,6.966119832996843,-88.90200237799276,-98.02779484205794,38.47655722685455,13.56002103787419,36.78819703683527,0.0,30.290000915527344,23.72000026702881,17.149999618530273,26.73633330663045,22.537333329518635,18.33833335240682,-0.0027562976153725494,1.9960097712656923
209,2025-05-21 00:00:00-05:00,2025-05-21,00:00:00,1747803600,18.770000457763672,21.049999237060547,17.770000457763672,20.8700008392334,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,1.843571390424456,19.775072431578657,21.82314065506898,38.38006594077309,-2.4411281444823985,-2.219982713608946,-0.2211454308734524,27.96819360775122,21.816999912261963,15.665806216772705,43.91972472932317,21.333795320964388,-56.08027527067683,-51.40760208537556,37.375446396440616,22.006975678828795,31.1894591384356,0.0,29.65999984741211,23.40499973297119,17.149999618530273,26.282333246866862,22.101333300272625,17.920333353678387,0.1536761007847649,2.018443717673542
210,2025-05-22 00:00:00-05:00,2025-05-22,00:00:00,1747890000,20.6200008392334,22.06999969482422,19.639999389648438,20.280000686645508,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,1.8557142530168806,19.866877568863536,21.676174943790553,41.847829115074646,-2.254180633642605,-2.226822297615678,-0.02735833602692672,27.284455698445317,21.507499980926514,15.730544263407712,36.95396242050838,30.6572282572796,-63.04603757949161,-27.1164926883622,35.074715764130424,25.78907190528274,27.29022431683073,0.0,28.170000076293945,22.65999984741211,17.149999618530273,25.853666687011717,21.759666633605956,17.665666580200195,-0.02827025054444432,2.019188478926051
211,2025-05-23 00:00:00-05:00,2025-05-23,00:00:00,1747976400,20.139999389648438,25.530000686645508,19.829999923706055,22.290000915527344,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.1235715321132114,20.307445450075136,21.734634560146436,45.719726986762495,-1.9216812193286295,-2.1657940819582686,0.24411286262963916,26.95634872038428,21.380000019073485,15.80365131776269,60.68477634257508,47.186154497468884,-39.31522365742492,24.61733679245626,35.48185842966906,33.13152306945437,23.847964368958582,0.0,28.170000076293945,22.65999984741211,17.149999618530273,26.03383337656657,21.605833307902017,17.177833239237465,0.09911243396581493,2.017757885326317
212,2025-05-27 00:00:00-05:00,2025-05-27,00:00:00,1748322000,20.6299991607666,21.010000228881836,18.950000762939453,18.959999084472656,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.257142884390695,20.062455201783774,21.47038356246322,33.87096928183041,-1.904917650826846,-2.113618795731984,0.20870114490513814,26.449447457332276,21.070499992370607,15.69155252740894,21.36953016627934,39.669422976454264,-78.63046983372067,-45.28446772228106,35.97109685015422,29.651901032026494,25.22151650994317,0.0,28.170000076293945,22.65999984741211,17.149999618530273,25.847166760762533,21.308166631062825,16.769166501363117,-0.14939442325168273,2.037229564618351
213,2025-05-28 00:00:00-05:00,2025-05-28,00:00:00,1748408400,19.209999084472656,19.43000030517578,18.68000030517578,19.309999465942383,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.1442857469831194,19.92564506799443,21.2646326961279,37.61682646463335,-1.8421550792529082,-2.0593260524361687,0.2171709731832605,26.053821829054932,20.82749996185303,15.601178094651123,25.775651218358615,35.94331924240434,-74.22434878164138,-53.25026067370346,34.8373488195977,31.212527302977307,25.416392244397816,0.0,28.170000076293945,22.65999984741211,17.149999618530273,25.4241668065389,21.033166631062826,16.642166455586754,0.018459936622906348,2.0121837948604187
214,2025-05-29 00:00:00-05:00,2025-05-29,00:00:00,1748494800,18.25,20.200000762939453,18.110000610351562,19.18000030517578,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.1699999400547574,19.790073292936494,21.066096277941988,39.80222992339251,-1.7823592074626546,-2.003932683441466,0.22157347597881127,25.491946619062485,20.551499938964845,15.611053258867205,24.224348781641385,23.789843388759778,-75.77565121835862,-47.51491739888452,34.27306692684244,33.37722704776138,20.473994355428214,0.0,25.6200008392334,21.385000228881836,17.149999618530273,24.906333510080977,20.70633331934611,16.506333128611246,-0.0067322198012426115,2.0115001579994582
215,2025-05-30 00:00:00-05:00,2025-05-30,00:00:00,1748581200,19.610000610351562,20.549999237060547,18.56999969482422,18.56999969482422,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.2407142094203403,19.568241729643354,20.82837279383553,39.72856589664009,-1.763859821473119,-1.9559181110477968,0.19205828957467785,24.87614996057,20.249999904632567,15.623849848695134,16.945106149172855,22.31503538305762,-83.05489385082716,-40.65163958343278,31.81851454074518,33.43959237580984,19.6684739763338,0.0,25.6200008392334,21.385000228881836,17.149999618530273,24.659833335876463,20.44983329772949,16.239833259582518,-0.03180399377715093,2.007449686106306
216,2025-06-02 00:00:00-05:00,2025-06-02,00:00:00,1748840400,19.809999465942383,20.450000762939453,18.360000610351562,18.360000610351562,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.1214284896850586,19.348561526135754,20.593289728741823,49.8838157599253,-1.7460170976332918,-1.913937908364896,0.16792081073160414,24.585230664549233,20.033999919891357,15.482769175233482,14.43915080661718,18.53620191247714,-85.56084919338282,-42.29812480840843,31.407481746443104,35.319865910174926,9.05723478235963,0.0,25.6200008392334,21.385000228881836,17.149999618530273,24.440000025431317,20.24699999491374,16.053999964396162,-0.01130851308151537,1.989438932007008
217,2025-06-03 00:00:00-05:00,2025-06-03,00:00:00,1748926800,18.829999923706055,19.209999084472656,17.639999389648438,17.690000534057617,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.147856984819685,19.047004982121546,20.316785995914756,48.02386788008712,-1.765587424384698,-1.8842678115688565,0.11868038718415841,24.067807249290667,19.736499977111816,15.405192704932963,6.443924184949974,12.609393713580003,-93.55607581505002,-70.37809440903445,31.23100037135672,34.88526951434409,9.710676059677498,0.0,25.6200008392334,21.385000228881836,17.149999618530273,24.126333459218344,19.971333344777427,15.81633323033651,-0.03649237766997637,1.9868392811471909
218,2025-06-04 00:00:00-05:00,2025-06-04,00:00:00,1749013200,17.68000030517578,18.06999969482422,17.40999984741211,17.610000610351562,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.14071410042899,18.785731459981548,20.058996911575406,46.142092933762555,-1.7671814073558387,-1.860850530726253,0.09366912337041433,23.102082414903172,19.378999996185303,15.655917577467433,5.489271279111531,8.790782090226228,-94.51072872088847,-89.62154151479278,31.026598535830498,35.00167060079896,10.510510147388356,0.0,25.6200008392334,21.385000228881836,17.149999618530273,23.700666650136313,19.626666673024495,15.552666695912679,-0.004522324550077617,1.9471931484969787
219,2025-06-05 00:00:00-05:00,2025-06-05,00:00:00,1749099600,17.68000030517578,18.799999237060547,17.079999923706055,18.479999542236328,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.148571286882673,18.730143838573326,19.908616209733587,52.467728226138256,-1.6788898107600119,-1.824458386733005,0.14556857597299322,22.303288057512148,19.125500011444093,15.947711965376039,16.56804132693668,9.500412263666062,-83.43195867306332,-69.01491208485841,31.72327331930914,35.43883161699422,10.472073890487996,0.0,25.530000686645508,21.30500030517578,17.079999923706055,23.33799988428752,19.324999968210857,15.312000052134197,0.04940368550432428,1.9486192933432123
220,2025-06-06 00:00:00-05:00,2025-06-06,00:00:00,1749186000,18.15999984741211,18.350000381469727,16.649999618530273,16.770000457763672,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.221428462437221,18.37375413297157,19.60970042383169,48.35549564039335,-1.726993018903439,-1.804965313167092,0.07797229426365293,21.76476209631468,18.840000057220458,15.915238018126233,1.3513606396318645,7.802891081893358,-98.64863936036814,-119.5501371265251,32.43027976888203,34.27652852228434,9.517682410614034,0.0,25.530000686645508,21.09000015258789,16.649999618530273,23.07799975077311,19.05499998728434,15.03200022379557,-0.0925324202830431,1.9470468522340878
221,2025-06-09 00:00:00-05:00,2025-06-09,00:00:00,1749445200,17.690000534057617,17.719999313354492,16.81999969482422,17.15999984741211,0,0.0,0.0,0,16.75,16.74,18.1712,65.73,12.7,19.65685,2.0978569303240096,18.15307153559712,19.376395607029824,46.44412326179345,-1.7138888230449574,-1.7867500151426652,0.0728611920977078,21.237509118245207,18.60300006866455,15.968491019083892,5.7432451299252225,7.887549032164589,-94.25675487007477,-115.80077547586392,34.30747847725194,29.62206243440444,10.078309105717064,0.0,25.530000686645508,21.09000015258789,16.649999618530273,22.82649965286255,18.807499980926515,14.78850030899048,0.0232557769232431,1.947284073401803
