,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,forward_pe,latest_dividend_amount,market_cap,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
44,2024-09-23 00:00:00-04:00,2024-09-23,00:00:00,1727064000,95.07938223940015,95.64888972498542,94.61604799929778,95.24347686767578,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.9507906374884892,96.04289421107308,95.62222722712724,56.24986576287495,0.7657319883233669,1.045714847211946,-0.2799828588885791,98.4016896018313,95.69219207763672,92.98269455344214,22.454407924833387,37.881320817100715,-77.54559207516661,-31.36257936521564,26.80522738615508,35.89538464443322,24.72796719322078,320001864.3,98.11033311288622,95.46407626398916,92.81781941509209,97.59014418254765,95.68664566507263,93.78314714759762,-0.002123766278757655,
45,2024-09-24 00:00:00-04:00,2024-09-24,00:00:00,1727150400,94.59674563212337,95.45583793697355,94.45195322204177,95.22417449951172,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.9342447679994237,95.89403608169829,95.5843174435448,47.05884632024848,0.6465904438938423,0.9658899665483253,-0.3192995226544829,98.38593882204671,95.73217163085937,93.07840443967203,21.108285648588076,26.053182094700286,-78.89171435141192,-41.22472936562114,27.15837779124996,29.372577876451032,26.420512149210897,308149943.4,98.11033311288622,95.46407626398916,92.81781941509209,97.653832748557,95.70959807366694,93.76536339877688,-0.00020266341379870934,
46,2024-09-25 00:00:00-04:00,2024-09-25,00:00:00,1727236800,94.847723001368,94.90563702227722,94.39404353238376,94.43265533447266,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.9314864701199629,95.62833049129362,95.4746353379189,36.3636476259262,0.4827362469856382,0.8692592226357879,-0.3865229756501497,98.37553179198984,95.74075317382812,93.1059745556664,1.038987981223838,14.867227184881772,-98.96101201877616,-73.11178186207289,25.60447240335546,24.64822665437018,26.942813115092978,296298022.5,98.11033311288622,95.46407626398916,92.81781941509209,97.68964730337743,95.73263512861674,93.77562295385604,-0.008312166203584326,
47,2024-09-26 00:00:00-04:00,2024-09-26,00:00:00,1727323200,94.66431787747948,94.83806730299418,94.03688898731812,94.6546630859375,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.8790863206533684,95.45130005395615,95.39654274249209,38.63636363636364,0.36656920397511783,0.768721218903654,-0.40215201492853614,98.34534737592024,95.76620750427246,93.18706763262468,15.16589106357806,12.437721564463331,-84.83410893642194,-79.4028236188645,25.333645657083082,17.490024963517975,31.450801960445517,288396741.9,98.11033311288622,95.46407626398916,92.81781941509209,97.73907165384375,95.74716169686064,93.75525173987754,0.002350963770726411,
48,2024-09-27 00:00:00-04:00,2024-09-27,00:00:00,1727409600,95.11800801342902,95.3303692644883,94.7994661368401,95.14696502685547,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.8625402223126893,95.39596641266512,95.37277343624098,39.37135791659518,0.31064966181533293,0.6771069074859899,-0.36645724567065696,98.26716903446292,95.8316722869873,93.39617553951167,27.251534704248105,14.485471249683338,-72.7484652957519,-49.566903334483506,24.78568831523407,21.902380650449025,31.81433973324686,284446101.6,98.11033311288622,95.46407626398916,92.81781941509209,97.8047459879202,95.81454193446504,93.82433788100988,0.005201032097816416,
49,2024-09-30 00:00:00-04:00,2024-09-30,00:00:00,1727668800,95.21453140270016,95.2821002204441,94.48092183544556,94.69328308105469,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.8446135816971656,95.26820580691776,95.30806006908037,29.922492969223896,0.22710673525227776,0.5871068730392475,-0.3600001377869697,97.99336337591666,95.92448348999024,93.85560360406382,16.1139829957781,19.51046958786809,-83.8860170042219,-79.68838858766337,25.565160455129064,15.754946536862475,35.183502549256154,280495461.3,98.11033311288622,96.07361105010217,94.03688898731812,97.81397118101395,95.88989451777509,93.96581785453623,-0.004768222987172832,
50,2024-10-01 00:00:00-04:00,2024-10-01,00:00:00,1727755200,95.6771674077576,96.19041417259959,95.28012299676823,95.37696075439453,39506403,0.0,0.316,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.8901877787078091,95.2879794337317,95.31462203911028,37.272875481271726,0.21360315436244548,0.5124061293038871,-0.2988029749414416,97.92853167088879,95.97555923461914,94.0225867983495,32.89775742019088,25.42109170673903,-67.10224257980913,-26.81841829300709,25.470798400425657,19.680746992425817,33.382242281414854,276544821.0,98.11033311288622,96.07361105010217,94.03688898731812,97.84526354094989,95.953235683183,94.0612078254161,0.007219917306644064,
51,2024-10-02 00:00:00-04:00,2024-10-02,00:00:00,1727841600,94.28269097514821,94.64099884693597,93.99217028037455,94.57321166992188,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.9256701965196571,95.15802165849355,95.244011527759,35.45616774481374,0.13647246568042704,0.43721939657919506,-0.30074693089876803,97.97094352377177,95.9256362915039,93.88032905923605,14.109237861120356,21.040326092363117,-85.89076213887965,-115.26572256161815,25.706634645440165,18.92635251125955,37.12517939266316,268643540.4,98.11033311288622,96.05125169663039,93.99217028037455,97.8206965473304,95.91374233093939,94.00678811454837,-0.008427077966369545,
52,2024-10-03 00:00:00-04:00,2024-10-03,00:00:00,1727928000,94.26330779706224,94.42794011162044,93.6822738647461,93.6822738647461,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.948628972410677,94.8897038778122,95.09527460747205,29.25981840659503,0.0034152354946854757,0.35045856436229317,-0.3470433288676077,98.0786292480346,95.80413856506348,93.52964788209236,0.0,15.66899842710375,-100.0,-130.5347356915477,26.435223352566215,18.032223438725346,38.560089343672125,256791619.5,98.11033311288622,95.89630348881616,93.6822738647461,97.72478542357464,95.8156121404101,93.90643885724555,-0.009420614880726652,
53,2024-10-04 00:00:00-04:00,2024-10-04,00:00:00,1728014400,92.42337583885951,92.92693665138755,92.38463925508844,92.52989959716797,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.9751270756729582,94.4606485540587,94.85095317791928,17.307850339994687,-0.1927980942353571,0.2418072326427631,-0.4346053268781202,98.32312950139547,95.62550506591796,92.92788063044046,2.536991073696601,5.548742978272323,-97.4630089263034,-189.28359188811615,28.28440757882745,12.168566211927558,47.01749927200263,244939698.6,98.11033311288622,95.24748618398733,92.38463925508844,97.51295882521404,95.62750012190456,93.74204141859508,-0.01230087849107786,
