,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,latest_split_ratio,market_cap,pe_ratio,price_to_book,shares_outstanding,split_frequency,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
153,2024-03-01 00:00:00-05:00,2024-03-01,00:00:00,1709269200,436.1602371398043,442.7834406632999,436.10074964322064,441.8216857910156,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.708916598915563,433.1611846997695,429.1924418633432,58.38225587206095,5.5133732594063645,5.297082837834584,0.2162904215717809,439.7392488240552,429.85829467773436,419.9773405314135,96.11221415650655,86.55571273216964,-3.887785843493443,176.82586290124212,15.265855177157844,36.96800765254283,26.150520245934956,1011321408.0,442.7834406632999,430.414512550993,418.045584438686,440.434285761644,429.4266618462187,418.41903793079337,0.015056869033059916,0.14943456772800257
154,2024-03-04 00:00:00-05:00,2024-03-04,00:00:00,1709528400,441.8216879235833,442.2480553286728,439.9973340838939,440.2452087402344,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.551693136800558,434.44918907076305,430.245086327809,58.51976142843246,5.736578960404245,5.384982062348516,0.35159689805572913,441.26827106012934,430.6024139404297,419.93655682073006,89.7394830820464,92.48856745203437,-10.260516917953602,163.14313090997848,13.130309112730325,36.36928656086457,26.891100682904835,1007107568.8,442.7834406632999,430.414512550993,418.045584438686,440.68629762077796,430.28249061749494,419.8786836142119,-0.003568129635734829,0.1499455661731293
155,2024-03-05 00:00:00-05:00,2024-03-05,00:00:00,1709614800,437.19143012684754,437.20135479624605,429.96339628155164,432.3429870605469,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.577184976883656,434.0662432507237,430.4448863975936,57.19492627939951,5.215704444454275,5.351126538769668,-0.13542209431539298,441.3102622562528,430.979182434082,420.6481026119112,57.795641190747595,81.21577947643351,-42.204358809252405,39.551125223613845,13.988741728012958,36.2030521539391,27.78399495828839,1002893729.6,442.7834406632999,430.414512550993,418.045584438686,441.7133237199191,430.73841490516406,419.763506090409,-0.017949591552171018,0.15476540363312546
156,2024-03-06 00:00:00-05:00,2024-03-06,00:00:00,1709701200,436.5766840765712,438.23246984431563,433.1758510372111,435.0596923828125,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.636673231574101,434.2468703656489,430.8843917295192,55.54889835206617,4.964890881375595,5.2738794072908535,-0.30898852591525827,441.46171258960356,431.5344207763672,421.60712896313083,68.77761674108865,72.10424700462754,-31.222383258911364,71.69298395475558,14.007871183268369,34.13728641638867,27.490768563836713,1002893729.6,442.7834406632999,430.414512550993,418.045584438686,442.3789466033947,431.3108388603038,420.24273111721294,0.006283680789495927,0.1530524474216266
157,2024-03-07 00:00:00-05:00,2024-03-07,00:00:00,1709787600,438.65887654701555,442.92230893520167,437.11211070798066,441.6631164550781,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.9397891187669245,435.59527874554504,431.91093694147725,59.84522895456142,5.2385734473336925,5.266818215299422,-0.028244767965729167,442.97647281227484,432.2016998291016,421.42692684592834,94.9382705898443,73.83717617389351,-5.061729410155711,143.64777994073967,14.065178045978458,36.44916615550011,26.087875542515143,1002893729.6,442.92230893520167,430.4839466869438,418.045584438686,443.292118655419,431.95729577533336,420.6224728952477,0.015178202411946673,0.1553369531630842
158,2024-03-08 00:00:00-05:00,2024-03-08,00:00:00,1709874000,442.02003491823433,444.82599319580197,434.61353838720834,435.2877502441406,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,6.305229631063319,435.5393644725624,432.2325382083976,57.27816103655371,4.884722045461558,5.190398981331849,-0.30567693587029066,443.26637221774996,432.5105514526367,421.7547306875235,64.38350497870246,76.03313076987847,-35.61649502129753,96.27938641598458,14.596525328728676,34.33663374478186,25.744076651617238,998679890.4,444.82599319580197,431.435788817244,418.045584438686,444.5676855570375,432.42379633800573,420.27990711897394,-0.014434907451879031,0.1584454298780863
159,2024-03-11 00:00:00-04:00,2024-03-11,00:00:00,1710129600,433.79060586205696,434.9308233152779,431.7381962913759,433.671630859375,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,6.05805890802735,435.199776542892,432.3695946513478,58.922571594385026,4.422900488566654,5.03689928277881,-0.6139987942121561,443.28972233107737,432.527409362793,421.7650963945086,58.34879729584757,72.55685762146477,-41.65120270415243,15.874309606031003,15.61379897519402,35.73757928165557,22.761183179163694,990252212.0,444.82599319580197,431.435788817244,418.045584438686,444.4779562318379,432.4808088132583,420.48366139467873,-0.0037127610043222736,0.15832212653173472
160,2024-03-12 00:00:00-04:00,2024-03-12,00:00:00,1710216000,435.99172313430574,440.24523066306085,432.74950310271265,439.8883056640625,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,6.190495849085595,436.05223638310474,433.0856623668444,64.79749285276313,4.506588136517905,4.93083705352663,-0.42424891700872447,444.18050511839795,432.9398727416992,421.6992403650005,66.77776057422918,63.17002094959306,-33.222239425770816,77.19296375283999,17.689370955713834,41.105013104938564,20.134925258216118,986038372.8,444.82599319580197,431.435788817244,418.045584438686,445.030383158059,432.7288479548835,420.42731275170803,0.014334981498255628,0.15883957526435474
161,2024-03-13 00:00:00-04:00,2024-03-13,00:00:00,1710302400,438.8869151645665,438.90676450475513,435.38692579115065,436.50732421875,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.555226057964826,436.1349796259493,433.4115349241688,52.098602432942386,4.251090330739487,4.794887708969202,-0.5437973782297147,444.1983398127473,433.51990203857423,422.84146426440117,44.02950557667356,56.3853544822501,-55.97049442332644,62.395295527912566,16.495869944791444,28.696996492740574,22.437461577990174,981824533.6,444.82599319580197,431.435788817244,418.045584438686,445.09763762560635,433.3384571048916,421.5792765841768,-0.007685999836273272,0.1599147661612831
162,2024-03-14 00:00:00-04:00,2024-03-14,00:00:00,1710388800,437.74666060679345,438.2721536889291,432.6801169524421,435.40673828125,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.614715728900892,436.0025721087312,433.60155429150984,52.2797766011598,3.9146724841240257,4.618844664000167,-0.7041721798761413,444.35265918188475,433.81338653564455,423.27411388940436,36.624434014484095,49.14390005512894,-63.37556598551591,31.864117568683064,15.23835383932514,26.538767858143952,25.64324304780757,973396855.2,444.82599319580197,431.435788817244,418.045584438686,445.51158703200156,433.69886755944833,421.8861480868951,-0.0025213458662344257,0.1599800997454603
