datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,latest_split_ratio,market_cap,pe_ratio,price_to_book,shares_outstanding,split_frequency,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
2025-05-23 14:30:00-04:00,2025-05-23,14:30:00,1748025000,510.7200012207031,511.5,509.5299987792969,510.17999267578125,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.893224787248885,510.4485410014438,511.59573136005156,34.75348481491142,-1.4198962838615898,-1.3187209148793528,-0.101175368982237,518.6093069426865,511.0520759277344,503.4948449127822,83.42789521865016,66.13381568769836,-16.572104781349836,146.42050910675013,18.388391477729755,2.8119546573435215,55.93434185907339,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,-0.0011355961288157523,0.06361251030799454
2025-05-23 15:30:00-04:00,2025-05-23,15:30:00,1748028600,510.1499938964844,511.1044921875,508.82000732421875,509.2864990234375,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.893224787248885,510.23726064180624,511.3758044708502,34.75348481491142,-1.4266151652050212,-1.3402997649444868,-0.08631540026053441,518.6093069426865,511.0520759277344,503.4948449127822,83.42789521865016,66.13381568769836,-16.572104781349836,146.42050910675013,18.388391477729755,2.8119546573435215,55.93434185907339,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,-0.00175133024652252,0.06361251030799454
2025-05-23 16:00:00-04:00,2025-05-23,16:00:00,1748030400,509.3,509.32,475.1213,508.75,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,5.893224787248885,509.96684961602324,511.12572785457877,34.75348481491142,-1.4584191662445392,-1.3639236452044972,-0.094495521040042,518.6093069426865,511.0520759277344,503.4948449127822,83.42789521865016,66.13381568769836,-16.572104781349836,146.42050910675013,18.388391477729755,2.8119546573435215,55.93434185907339,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,-0.0010534326444275877,0.06361251030799454
2025-05-23 17:00:00-04:00,2025-05-23,17:00:00,1748034000,508.71,532.8758,487.1613,508.4,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,9.092117644391749,509.6819678676554,510.86613472557127,34.18080550699818,-1.4946368973581912,-1.390066295635236,-0.10457060172295507,518.6093069426865,511.0520759277344,503.4948449127822,57.62096460016095,66.13381568769836,-42.379035399839054,146.42050910675013,18.388391477729755,20.32828900833652,36.25488173326383,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,-0.0006879606879607314,0.06361251030799454
2025-05-23 18:00:00-04:00,2025-05-23,18:00:00,1748037600,508.485,508.59,508.18,508.245,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,8.950689072963176,509.42070098262707,510.6165028469454,38.10024835565602,-1.5183443858676924,-1.4157219136817274,-0.10262247218596499,518.6093069426865,511.0520759277344,503.4948449127822,57.35258724428396,66.13381568769836,-42.64741275571603,146.42050910675013,18.388391477729755,20.6494934262981,35.44715992912544,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,-0.00030487804878043256,0.06361251030799454
2025-05-23 19:00:00-04:00,2025-05-23,19:00:00,1748041200,508.3,508.4865,508.1832,508.4,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,8.853067644391741,509.23511898578573,510.4054073377125,34.43581456297912,-1.507250886712825,-1.4340277082879471,-0.0732231784248778,518.6093069426865,511.0520759277344,503.4948449127822,57.62096460016095,57.531505481535284,-42.379035399839054,146.42050910675013,18.388391477729755,20.87719224534289,35.83803036297708,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,0.0003049710277522877,0.06361251030799454
2025-05-27 04:00:00-04:00,2025-05-27,04:00:00,1748332800,517.94,518.27,517.47,517.78,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,9.331639072963169,510.7887337156428,511.1077494960256,61.29475715857049,-0.7331206422271634,-1.2938462950757903,0.5607256528486269,518.6093069426865,511.0520759277344,503.4948449127822,73.86212329775161,62.94522504739884,-26.1378767022484,146.42050910675013,18.388391477729755,27.295241065217684,32.668209007340856,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,0.018450039339103164,0.06361251030799454
2025-05-27 05:00:00-04:00,2025-05-27,05:00:00,1748336400,517.8,518.35,517.15,517.6,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,8.556139072963171,512.0271457673441,511.7260590678327,81.88745411136516,-0.13261266558203033,-1.0615995691770383,0.928986903595008,518.6093069426865,511.0520759277344,503.4948449127822,73.55045927157191,68.3445157231615,-26.44954072842809,146.42050910675013,18.388391477729755,29.769190970141974,29.367978348928215,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,-0.00034763799296988473,0.06361251030799454
2025-05-27 06:00:00-04:00,2025-05-27,06:00:00,1748340000,517.6,518.41,517.49,518.24,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,7.907567644391739,513.156755627827,512.3464343947057,81.83971418716845,0.390436178405821,-0.7711924196604665,1.1616285980662875,518.6093069426865,511.0520759277344,503.4948449127822,74.65859803132221,74.02372686688192,-25.34140196867779,146.42050910675013,18.388391477729755,32.26503027636519,31.776712934401925,25283035.2,532.8758,503.99855,475.1213,524.8522302677409,510.7599355655924,496.667640863444,0.0012364760432765909,0.06361251030799454
2025-05-27 07:00:00-04:00,2025-05-27,07:00:00,1748343600,518.3,518.37,516.47,516.98,42138392,0.0,0.0,0.0,44875122,357.774,564.34,558.61,21.25,0.51,534.8244,566.06,402.39,0.591,2.0,220627369984,33.7453,1.5687279,393100000,1,507.76074,7.752567121233255,513.851890968222,512.7877263571147,73.80288012101546,0.6952700455939294,-0.47789992660958736,1.1731699722035167,518.9546525785996,511.14507592773435,503.3354992768691,72.47694984806378,73.56200238365263,-27.523050151936225,123.52504064243757,18.388391477729755,32.91011937967183,33.3518197633849,21069196.0,532.8758,503.99855,475.1213,525.0620636010742,510.8727688989258,496.68347419677735,-0.0024313059586291708,0.06361251030799454
