,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,latest_split_ratio,market_cap,shares_outstanding,split_frequency,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
152,2024-03-01 00:00:00-05:00,2024-03-01,00:00:00,1709269200,24.7062559727776,24.83036106434416,24.663296798134418,24.816041946411133,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.0893267290741517,24.669876238516757,24.674623293783906,62.09194879951526,-0.014316279233486995,-0.03389404285628933,0.019577763622802336,24.805485386747364,24.648022365570068,24.49055934439277,95.71448229574663,87.68314815435504,-4.285517704253358,143.1995485173084,19.246016749246824,29.771039171634193,23.282233185540584,-15436935.3,24.863768629463205,24.680000807956702,24.496232986450195,24.84953142701018,24.650488394883734,24.451445362757287,0.0038617506983804617,0.06032777336830391
153,2024-03-04 00:00:00-05:00,2024-03-04,00:00:00,1709528400,24.758760493208833,24.80649391847606,24.758760493208833,24.801719665527344,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.09034974949597974,24.693847770700497,24.686727710140424,60.389837852985664,-0.002515984525306436,-0.027618431190092753,0.025102446664786317,24.80668666240167,24.648261165618898,24.489835668836125,91.42801796324771,93.71426230969824,-8.571982036752294,169.96613186710655,19.973441699566344,29.433944921550196,21.886540537285835,-15660659.0,24.83036106434416,24.663297025397178,24.496232986450195,24.826301623687513,24.649693016296787,24.47308440890606,-0.0005771380026966533,0.059597491386350135
154,2024-03-05 00:00:00-05:00,2024-03-05,00:00:00,1709614800,24.88286485034182,24.94014313814336,24.858999048828178,24.90673065185547,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08932710621743618,24.732553749092308,24.707680371256142,79.86108605948935,0.015134877583065531,-0.019067769435461096,0.03420264701852663,24.856360022776773,24.660194301605223,24.464028580433673,92.04553668013723,93.06267897971053,-7.95446331986277,233.3001226019136,22.894150226361024,40.45789667563344,12.595288037128633,-15660659.0,24.94014313814336,24.718188062296775,24.496232986450195,24.835927856074875,24.660751054713266,24.485574253351658,0.0042340203721471514,0.06008262575543664
155,2024-03-06 00:00:00-05:00,2024-03-06,00:00:00,1709701200,24.93537180421319,24.987875841517663,24.911504180804588,24.925825119018555,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08557678939148795,24.767693998169804,24.728456061519232,77.34377682805383,0.030314628722770465,-0.009191289803814784,0.03950591852658525,24.895605757938693,24.669024753570557,24.442443749202422,86.73505516834445,90.0695366039098,-13.264944831655551,220.752391593075,26.186847013521948,41.434206789197965,13.147263882322077,-15660659.0,24.987875841517663,24.74205441398393,24.496232986450195,24.841575783543654,24.67069519560027,24.499814607656887,0.0007666388427283177,0.05999338990914937
156,2024-03-07 00:00:00-05:00,2024-03-07,00:00:00,1709787600,24.949689417507663,24.95446184939527,24.882864446017724,24.916276931762695,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08455372565511839,24.794709077004875,24.74634376344718,74.37988963339927,0.04110045153008102,0.0008670584629643756,0.04023339306711664,24.93207494899291,24.680002880096435,24.42793081119996,84.69388349313776,87.82482511387315,-15.30611650686224,166.86141284433745,29.019542378925518,37.90299463970366,15.725743084902025,-15660659.0,24.987875841517663,24.74205441398393,24.496232986450195,24.851440158598834,24.680559572323336,24.509678986047838,-0.00038306403941568146,0.059951647235484296
157,2024-03-08 00:00:00-05:00,2024-03-08,00:00:00,1709874000,24.954463353758445,24.983103409342355,24.921050865999227,24.925825119018555,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08455404412495834,24.818548357370997,24.763437225882548,77.96541868718337,0.04984418004589841,0.010662482779551183,0.03918169726634723,24.967565994178297,24.69265213012695,24.417738266075606,86.73505516834445,86.05466460994222,-13.264944831655551,148.7540751841208,32.0604616957848,40.32239991129132,10.484085639421496,-15436935.3,24.987875841517663,24.74205441398393,24.496232986450195,24.865601042043032,24.69376563648593,24.52193023092883,0.00038321083370562725,0.059656222713319294
158,2024-03-11 00:00:00-04:00,2024-03-11,00:00:00,1710129600,24.93537342847213,24.944918293444484,24.878093313573153,24.88763999938965,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08625917109833203,24.831110474101656,24.77526606145465,72.79980819947255,0.053080548342354206,0.01914609589211179,0.03393445245024242,24.992006979394105,24.705062770843504,24.418118562292904,78.57199944768165,83.33364603638796,-21.428000552318345,107.10633470662924,34.292793151611384,35.96850461649849,13.834024657985678,-15213211.6,24.987875841517663,24.74205441398393,24.496232986450195,24.879682247609388,24.706414929274672,24.533147610939956,-0.001531950073731747,0.05977306712348083
159,2024-03-12 00:00:00-04:00,2024-03-12,00:00:00,1710216000,24.887638297479157,24.892412550482995,24.83513243950105,24.839906692504883,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08523650751137371,24.832709786538604,24.781422312030863,71.09351830751125,0.05120347283062543,0.02555757127981452,0.02564590155081091,25.006360857600907,24.71460943222046,24.422858006840013,68.36777205181217,77.89160888927942,-31.632227948187836,71.88822609841294,35.44905530297082,36.40005303421994,13.60017802088401,-15213211.6,24.987875841517663,24.74205441398393,24.496232986450195,24.891854293428135,24.717154880724895,24.542455468021654,-0.0019179523203459725,0.05372326095196827
160,2024-03-13 00:00:00-04:00,2024-03-13,00:00:00,1710302400,24.839906405741125,24.849453090794572,24.792172980473897,24.801719665527344,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08182710802541747,24.82707521908201,24.783355393316242,69.4653810841231,0.04610305570122719,0.029666668164097056,0.016436387537130136,25.005009981278963,24.729883766174318,24.454757551069672,57.14283614628771,68.02753588192718,-42.85716385371229,44.031677735550694,34.83789443783088,37.91669373066372,13.750038178342185,-15213211.6,24.987875841517663,24.7539859788511,24.52009611618454,24.896946175241784,24.731792799358036,24.56663942347429,-0.001537325701350567,0.04878673953688694
161,2024-03-14 00:00:00-04:00,2024-03-14,00:00:00,1710388800,24.75398859130553,24.75398859130553,24.648976874312385,24.658523559570312,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08591837661492262,24.796429462807154,24.7714666472452,52.70261513788467,0.03015856025910324,0.029765046583098295,0.0003935136760049446,25.00285332838415,24.733225059509277,24.463596790634405,19.76735737972779,48.42598852594256,-80.23264262027222,-27.073332345680324,33.559538526677436,34.12682694433904,24.999950810579396,-15436935.3,24.987875841517663,24.7539859788511,24.52009611618454,24.903390105667878,24.736327413185183,24.56926472070249,-0.005773636178787345,0.050104875785883525
